"especie"	"rotacao"	"regiao"	"fazenda"	"projeto"	"estrato"	"talhao"	"idade"	"ano"	"pagina"	"arvore"	"dap"	"ht"	"vol"	"voltot"
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72210	9	12.73	17.4	97.85172	98.46347
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72210	10	11.46	16.09	75.822971	76.20752
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72301	1	11.78	16.45	77.873037	78.34303
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72407	4	14.96	18.03	133.957358	135.0125
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72407	5	13.37	17.61	100.143198	100.8623
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72407	6	13.69	19.49	124.071256	124.6071
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72407	7	14.01	19.02	129.430649	130.4385
"E.grandis"	1	"Bofete"	6	89	601	2	2.9	92	72502	2	16.23	18.25	164.940514	165.4809
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104503	1	11.46	16.12	78.77304	79.09173
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104503	2	13.05	19.21	120.935648	121.3561
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104603	1	10.82	17.17	75.743465	76.67843
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104603	2	11.14	18.23	86.740359	87.12491
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104703	1	9.23	14.02	43.94137	44.88463
"E.grandis"	1	"Bofete"	6	89	602	11	2.6	92	104703	2	8.59	14.67	41.035385	41.94245
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	72705	1	14.01	19.63	130.290169	130.826
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	72705	2	15.28	20.64	159.33206	160.1358
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	72705	3	13.69	18.44	114.103226	114.8029
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	72705	4	14.32	19.75	130.868088	131.6719
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	72705	5	14.64	20.6	145.895967	146.5198
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	104503	3	12.41	20.16	115.248482	115.633
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	104603	3	9.87	17.87	61.116096	62.53387
"E.grandis"	1	"Bofete"	6	89	602	12	2.6	92	104703	3	9.23	15.46	46.115926	47.54201
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	104803	1	11.78	18.91	97.94331	98.29996
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	104803	2	13.05	19.38	108.610199	109.2099
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	104903	1	11.46	19.19	81.438489	82.52953
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	104903	2	10.5	17.39	66.58079	67.86309
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	105003	1	8.59	15.97	47.925455	48.89661
